topic,rank,word,weight
4,20,supreme,5430.033333332012
5,1,tax,22390.64206212942
5,2,fund,19898.44324954166
5,3,million,19773.995275521098
5,4,pay,13817.36610659218
5,5,cut,13550.122623800671
5,6,plan,12973.22110880671
5,7,strike,11812.773512091258
5,8,union,10520.279006335386
5,9,bond,10114.274446214724
5,10,budget,9277.716530399965
5,11,loan,9166.834816399816
5,12,worker,9063.592016408931
5,13,billion,8538.722753590922
5,14,cost,8469.405239481415
5,15,issue,8233.440645640036
5,16,new,6969.073176345874
5,17,offer,6761.899818238354
5,18,company,6706.518315918923
5,19,stock,6372.684500157364
5,20,increase,6302.520710694426
6,1,game,23570.12379291527
6,2,league,13358.207324804487
6,3,team,11968.039841912549
6,4,season,9810.787175586898
6,5,coach,8691.03333333236
6,6,run,8688.611913723811
6,7,football,8329.649380027171
6,8,player,8279.774567950128
6,9,new,7662.449512995658
6,10,giant,7658.138264143133
6,11,yankee,7207.033333332661
6,12,sport,6928.750014569275
6,13,hit,6875.116424251784
6,14,baseball,6491.033333332355
6,15,today,6281.0601097665985
6,16,year,5466.682255118259
6,17,los,5035.650812695675
6,18,red,4970.127708852198
6,19,york,4917.901446584148
6,20,angeles,4911.491027260099
7,1,letter,16495.033333332543
7,2,ed,12950.695059823838
7,3,white,12611.759292390263
7,4,editor,11868.953484140746
7,5,house,9552.575288682658
7,6,article,8809.95492870284
7,7,lr,6618.9098480529
7,8,prison,5573.25804861786
7,9,time,4822.734150413702
7,10,washington,4427.263200393906
7,11,say,3711.6675364183347
7,12,president,3653.3865395823627
7,13,comment,3448.456464998582
7,14,sentenced,3237.03329971985
7,15,op,3135.1638267128646
7,16,text,3030.232125387991
7,17,column,2657.1334892318146
7,18,editorial,2470.004130670597
7,19,statement,2444.564721501531
7,20,nixon,2340.8778694890284
8,1,market,26884.271437561285
8,2,price,24040.266105845996
8,3,stock,22071.647568954948
8,4,exchange,12355.050022977162
8,5,week,12245.324592581339
8,6,trading,8648.0333333323
8,7,point,8455.575109723468
8,8,yesterday,8384.875981954132
8,9,new,8122.821757396796
8,10,london,6644.272290174266
8,11,cotton,5989.710194837324
8,12,decline,5630.0171803060275
8,13,future,5602.181139260654
8,14,rate,5534.3817047597395
8,15,gain,5517.194567267285
8,16,rise,5468.393168480144
8,17,day,5249.382167318994
8,18,gold,5014.453242448395
8,19,bond,4881.435883853543
8,20,wall,4720.992646469741
9,1,mr,53790.28634688413
9,2,son,19145.5615206863
9,3,death,16059.684685206115
9,4,daughter,15086.560343429986
9,5,church,14329.179030945761
9,6,st,12812.634154438485
9,7,paid,12503.487458199643
9,8,notice,12016.033333331845
9,9,new,11219.053927478597
9,10,york,9830.12330076092
9,11,family,9210.957823273602
9,12,father,9210.840695534913
9,13,married,9029.897787022624
9,14,wife,8915.55416203396
9,15,service,8591.57295887056
9,16,rev,8323.40526803125
9,17,late,7942.5537244580955
9,18,mother,7917.715323455312
9,19,dr,7720.330693788063
9,20,john,7389.365662425923
10,1,dr,19721.61931555188
10,2,dy,11750.889002448004
10,3,hospital,10647.161268910988
10,4,named,9311.139933616263
10,5,year,8716.592205098563
10,6,head,7420.108183364842
10,7,university,7256.266167900751
10,8,elected,6781.044999501801
10,9,medical,6547.57042438724
10,10,died,5631.801092257431
10,11,college,5135.663968722145
10,12,doctor,4884.920799615303
10,13,award,4832.088938108258
10,14,research,4600.118557754043
10,15,columbia,4534.5147278737995
10,16,student,4520.342077662755
10,17,old,4465.411076973561
10,18,dead,4222.787336465934
10,19,cancer,4116.500918706531
10,20,patient,4086.4900791934706
11,1,new,16813.206114688335
11,2,plan,10619.033739347986
11,3,project,9603.163906413294
11,4,plant,7811.798807752853
11,5,county,7554.827095550513
11,6,site,7026.086007135879
11,7,radio,6971.664878612841
11,8,city,6830.940460855648
11,9,island,6814.63361024649
11,10,computer,6394.237722236191
11,11,service,6365.734449260986
11,12,station,6129.241189453174
11,13,area,5920.511681409676
11,14,company,5875.190212418756
11,15,power,5390.763088160415
11,16,water,5179.903691763802
11,17,million,5126.522851520677
11,18,jersey,4733.4070941110285
11,19,river,4666.344100177697
11,20,line,4567.168309178967
12,1,article,14806.395867089283
12,2,news,13118.30834254187
12,3,correction,9619.03333333279
12,4,title,9290.22242910762
12,5,day,8989.173507994426
12,6,page,7510.111466549094
12,7,paper,6785.806263096933
12,8,newspaper,5489.225854359581
12,9,south,5448.584025806766
12,10,new,4826.585098435533
12,11,africa,4175.863137172932
12,12,ad,3873.2949444715146
12,13,magazine,3816.2696783199285
12,14,note,3571.995533281749
12,15,time,3425.1612096404774
12,16,advertising,3204.7068541579856
12,17,daily,3203.1437916872196
12,18,brazil,3025.033333332087
12,19,sugar,2785.033333331858
12,20,publisher,2777.6533478360006
13,1,report,34210.46818460927
13,2,miss,17661.52598197107
13,3,company,16820.73723882355
13,4,earnings,12982.999122008068
13,5,jr,10719.57278686829
13,6,qtr,10251.113979794602
13,7,wed,9267.643788330908
13,8,bride,8277.427618639986
13,9,mr,8264.077523063683
13,10,31,7333.36839873246
13,11,30,6742.263598345548
13,12,corp,6341.962769373562
13,13,engaged,5682.033333332096
13,14,william,5229.601588125712
13,15,john,4842.4627193823335
13,16,smith,4370.085685877623
13,17,june,4321.642974315232
13,18,married,3806.168879642921
13,19,sept,3801.5368561595797
13,20,marriage,3527.265607736212
14,1,street,9439.931456919987
14,2,hall,8963.246294122455
14,3,new,8890.568691166847
14,4,sunday,6202.514185198827
14,5,center,6093.578430192529
14,6,30,6039.02939875837
14,7,ticket,5320.508574993493
14,8,york,5225.120614859863
14,9,city,5135.93759547462
14,10,concert,4839.351437747578
14,11,10,4820.522312535515
14,12,festival,4604.916556673707
14,13,saturday,4547.196305530265
14,14,opera,4288.3299594222335
14,15,tomorrow,4186.955801739605
14,16,friday,4124.860447062658
14,17,day,3969.6436377803043
14,18,anniversary,3835.033333332258
14,19,child,3817.163573365043
14,20,ballet,3749.0333333326103
15,1,say,14585.642752087722
15,2,time,12688.258148950921
15,3,like,10613.419884954757
15,4,make,9550.154346595373
15,5,people,9346.275160628218
15,6,way,8940.625011822332
15,7,problem,8856.460149693534
15,8,new,8060.312709352614
15,9,good,7834.536448158372
15,10,need,7355.7315975259835
15,11,child,6976.372674997098
15,12,know,6011.200005173607
15,13,question,5766.750862529416
15,14,better,5137.747196615769
15,15,thing,5092.125398328669
15,16,use,4836.345134875
15,17,help,4667.0515333354615
15,18,think,4564.235763115316
15,19,want,4559.695711540431
15,20,test,4387.726585141607
16,1,000,122544.45439287317
16,2,share,20990.170119732382
16,3,net,18572.970317971864
16,4,report,16343.557084143107
16,5,30,11020.835558669358
16,6,31,10956.138144534236
16,7,qtr,10589.952686871653
16,8,company,10416.274200273736
16,9,earnings,9174.067544657222
16,10,lead,8331.664441562056
16,11,earns,7815.033333332935
16,12,sale,6996.188501612868
16,13,year,6925.751158052565
16,14,500,5862.741443523477
16,15,loss,5808.475583487334
16,16,total,5669.1317680445845
16,17,10,5506.525413112825
16,18,100,5148.115033635942
16,19,dec,4898.349997197415
16,20,revenue,4818.617072004486
17,1,air,15212.562137422452
17,2,ship,10428.03333333247
17,3,army,9819.283582225866
17,4,plane,9804.234718003192
17,5,navy,7461.7360600212405
17,6,japan,7263.0161690009345
17,7,japanese,7114.493703049415
17,8,coast,6836.526829261352
17,9,flight,6436.857279424371
17,10,sea,5502.450366897066
17,11,airline,5372.033333332167
17,12,line,5138.508742696005
17,13,port,4953.050823134942
17,14,boat,4557.707306544373
17,15,new,4375.269522102411
17,16,pacific,4124.85287798844
17,17,pilot,3879.0859691106434
17,18,atlantic,3835.1063073399646
17,19,marine,3828.156946376572
17,20,service,3756.195816955514
18,1,soviet,15242.197782331894
18,2,french,12388.81033255088
18,3,german,11608.680335712877
18,4,france,9679.771785061159
18,5,paris,8033.164094492584
18,6,germany,7239.475069506614
18,7,russian,6669.246332915557
18,8,visit,6354.94903290611
18,9,british,6354.372570556935
18,10,ussr,6304.0333333326935
18,11,britain,5984.64549105002
18,12,moscow,5959.870017879535
18,13,europe,5934.406963058923
18,14,talk,5604.146664235717
18,15,london,5553.978923485547
18,16,say,5371.15343022234
18,17,berlin,5312.774470611769
18,18,russia,4581.16535101834
18,19,foreign,4478.078660635745
18,20,china,4412.769249423173
19,1,new,15673.528945244632
19,2,building,13289.970360767838
19,3,store,11878.346617863624
19,4,home,11628.324376219385
19,5,street,10104.374411662215
19,6,house,9662.257750934055
19,7,city,9497.649273910654
19,8,food,7842.068246069096
19,9,hotel,7609.378206900676
19,10,estate,7502.517220100173
19,11,sale,6834.382598085822
19,12,manhattan,6613.122180001147
19,13,sold,6547.327390205025
19,14,apartment,6440.105314762498
19,15,restaurant,6226.274606130679
19,16,avenue,6070.954574657964
19,17,york,5985.690044047513
19,18,real,5566.333027180938
19,19,office,5398.3350849269345
19,20,property,5273.2316588949925
20,1,troop,6618.531956376025
20,2,force,5755.735519240922
20,3,protest,5662.434804470628
20,4,army,5426.791343274346
20,5,india,5418.033333331873
20,6,red,5358.214051459256
20,7,attack,5244.43011635413
20,8,war,5098.5149729531495
20,9,soldier,4831.448197708394
20,10,indian,4722.682793924092
20,11,communist,4603.036557734483
20,12,vietnam,4507.192858159386
20,13,mexico,4410.2270372909825
20,14,italian,4102.954644136305
20,15,italy,3750.9072523620703
20,16,rebel,3744.1867333746736
20,17,leader,3391.6871445489924
20,18,govt,3381.6478221623533
20,19,area,3308.0504819941966
20,20,camp,3275.697056680915
21,1,art,21624.210515390856
21,2,museum,9956.856237519058
21,3,new,7690.572851596572
21,4,work,6801.55396437996
21,5,artist,5858.847792337462
21,6,fashion,5731.15266437434
21,7,collection,5613.655650522483
21,8,photo,5108.49122153418
21,9,design,4894.377007079077
21,10,illus,4775.942720348927
21,11,century,4741.860160040679
21,12,exhibition,4437.583276133317
21,13,gallery,4277.615231863951
21,14,painting,4057.9650404282165
21,15,modern,3720.1588039602193
21,16,style,3480.900200456057
21,17,exhibit,3423.033333332613
21,18,designer,3227.033333332356
21,19,display,3146.503333563106
21,20,american,2928.5865073107175
22,1,new,17263.598294634958
22,2,film,15360.27068857277
22,3,book,14065.245962407593
22,4,york,10377.998843403762
22,5,review,7737.571089584941
22,6,movie,7154.800356532882
22,7,pp,5502.033333332864
22,8,time,4817.620981752374
22,9,writer,4600.012648431714
22,10,photo,4548.214730214256
22,11,star,4452.084440767947
22,12,story,4233.383123368608
22,13,picture,3979.5135944780973
22,14,author,3883.9446987463316
22,15,life,3678.033136941772
22,16,hollywood,3566.033128701243
22,17,mr,3464.45790885373
22,18,john,3392.623642529123
22,19,actor,3323.758107357111
22,20,love,3268.144278014471
23,1,woman,14875.936874726991
23,2,year,11080.760613244716
23,3,life,10399.697874965537
23,4,world,9303.786088404871
23,5,book,8924.476156578337
23,6,black,7864.448759309212
23,7,american,7465.6058179467955
23,8,war,6675.66778561912
23,9,history,5464.119822103637
23,10,95,5332.329771631655
23,11,people,4868.2239852346775
23,12,young,4701.511598080246
23,13,time,4582.896262552782
23,14,story,4115.501132584066
23,15,word,3994.7092830800457
23,16,america,3986.5541876141915
23,17,man,3956.3210087920056
23,18,right,3921.9852258274996
23,19,old,3745.862065902726
23,20,men,3675.661812981015
24,1,police,23852.674828846186
24,2,man,11422.631787584181
24,3,killed,10595.49392134969
24,4,car,9130.845186477389
24,5,said,8917.046776264593
24,6,death,8470.126532167147
24,7,year,5944.280177015479
24,8,crash,5824.033333332197
24,9,woman,5736.986716530921
24,10,old,5630.969033880515
24,11,held,5591.995740030249
24,12,arrested,5507.369743251043
24,13,shot,5377.733366545047
24,14,officer,5307.643948814359
24,15,victim,5241.608128306593
24,16,boy,5231.817449598915
24,17,hurt,5223.651281039575
24,18,driver,4730.0333333319595
24,19,murder,4631.339583289336
24,20,kill,4605.030857637868
25,1,8208,17266.21398090283
25,2,today,13359.631250071157
25,3,8212,13227.679291389079
25,4,victory,11156.02546630186
25,5,ap,10437.913736130015
25,6,final,9968.918681873494
25,7,win,9210.656415088391
25,8,round,7920.040198385198
25,9,team,7691.378462013544
25,10,second,7675.830710868387
25,11,game,7487.390098434558
25,12,state,7314.9832204579925
25,13,beat,7311.20090349629
25,14,defeat,7218.284871009703
25,15,score,6633.262137317428
25,16,tonight,6415.308993512934
25,17,tennis,6408.814434824688
25,18,point,6283.3666686919905
25,19,title,5997.507138806521
25,20,victor,5834.904144647783
26,1,day,8940.137107486175
26,2,year,8646.94420061402
26,3,park,8069.94198516897
26,4,old,5967.042193533223
26,5,spring,4365.157651174904
26,6,summer,4323.362277552288
26,7,mile,4259.457152170856
26,8,time,4172.555992404182
26,9,long,4101.837623101733
26,10,winter,3948.7666905988
26,11,foot,3629.937002712673
26,12,horse,3477.12289843183
26,13,tree,3475.6730508911182
26,14,green,3336.801409349371
26,15,blue,3329.6834522799268
26,16,like,3303.9922893767252
26,17,city,3259.09672019822
26,18,weather,3108.117101051521
26,19,length,2952.033328640699
26,20,lead,2942.166359860729
27,1,club,18570.99774750282
27,2,win,13221.438797935463
27,3,race,10358.789358324979
27,4,event,8716.505802066313
27,5,golf,8334.033333332598
27,6,annual,7231.648469886854
27,7,today,7188.056179049843
27,8,woman,6618.427853599788
27,9,open,6280.271759289091
27,10,dinner,5490.348523528468
27,11,meet,4923.458324499972
27,12,honor,4634.513159911584
27,13,track,4109.340840897123
27,14,field,4023.3859996602255
27,15,championship,3941.143122724338
27,16,new,3936.7270533276114
27,17,class,3845.192373618067
27,18,winner,3760.4346611369792
27,19,mr,3749.359245284517
27,20,cup,3723.33420325292
28,1,say,23412.980990902488
28,2,plan,17630.380200706728
28,3,urge,15112.287026290363
28,4,com,13810.62149377405
28,5,aid,12594.984297085164
28,6,pres,10867.973244556524
28,7,group,10741.107097810805
28,8,council,9575.944100784984
28,9,natl,8826.508210610942
28,10,sen,8577.500614283432
28,11,meeting,8395.17437838248
28,12,labor,8303.091421968107
28,13,program,8010.396358086334
28,14,asks,7501.10836652636
28,15,conf,7345.697889341675
28,16,sec,7343.201865837659
28,17,amer,7256.445377158676
28,18,urged,7022.557107459274
28,19,policy,6796.62440217758
28,20,bd,6500.598309307321
29,1,election,16824.033333332216
29,2,campaign,15547.462791501304
29,3,party,15475.080606626476
29,4,vote,13019.09710401954
29,5,president,12824.809262452512
29,6,republican,12747.033333332469
29,7,state,11350.230825130375
29,8,senate,9908.372522131473
29,9,candidate,9071.849538855642
29,10,governor,8979.464800327283
29,11,house,8621.148221994836
29,12,senator,8196.733852251962
29,13,new,8080.155137330127
29,14,democrat,7782.033333332579
29,15,gov,6956.228368045296
29,16,mr,6884.593249160668
29,17,democratic,6827.033333332282
29,18,mayor,6699.324479579135
29,19,political,6601.273433770056
29,20,leader,6564.825275367957
